isolate,polya_count,promoter_region_count
4954-98,30,2247
BHN418,23,2102
BM6001,27,2350
D39,22,1910
DP1322,22,2068
EF3030,23,2056
GM17,21,2292
LILPNEUHC_19F,24,2243
M2643,26,2035
PMEN19,32,2188
PMEN25,26,2151
PMEN28,49,2144
R1501,21,2009
SP264,27,2126
TIGR4,25,2126
TL71993,26,2146
TW31,24,2083
VL1312,26,2064
VL1313,24,2138
